id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,r_days_from_arrest,is_violent_recid,vr_charge_degree,type_of_assessment,score_text,v_type_of_assessment,v_decile_score,v_score_text,start,end,event,two_year_recid,r_days_from_arrest_missing
50,Male,49,Greater than 45,Other,0,3,0,0,7,-1.0,0.0,F,1,(M1),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,3,502,0,1,1
52,Female,33,25 - 45,Caucasian,0,5,0,0,4,-1.0,1.0,M,1,(F3),57.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,2,Low,10,223,1,1,0
53,Male,24,Less than 25,Caucasian,0,2,0,0,1,0.0,0.0,M,1,(F3),0.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,1,240,1,1,0
54,Male,34,25 - 45,African-American,2,9,1,3,21,0.0,0.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,6,Medium,33,514,1,1,0
55,Male,29,25 - 45,Caucasian,0,2,0,0,0,0.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,1171,0,0,1
56,Female,21,Less than 25,African-American,0,8,0,0,2,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,8,High,79,524,0,0,1
57,Male,51,Greater than 45,African-American,0,1,0,0,2,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,1128,0,0,1
59,Male,29,25 - 45,Caucasian,0,2,0,0,2,-1.0,1.0,M,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,72,1,1,0
61,Female,51,Greater than 45,African-American,0,2,0,0,7,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,1,529,0,0,1
64,Male,29,25 - 45,African-American,0,7,0,0,0,0.0,0.0,F,1,(M1),1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,2,Low,0,61,1,1,0
66,Male,25,25 - 45,Caucasian,0,10,0,0,9,-1.0,1.0,M,1,(F2),0.0,1,(F2),Risk of Recidivism,High,Risk of Violence,9,High,6,8,1,1,0
67,Male,35,25 - 45,African-American,1,8,0,4,13,-1.0,1.0,F,1,(MO3),0.0,1,(MO3),Risk of Recidivism,High,Risk of Violence,3,Low,0,9,1,1,0
68,Male,49,Greater than 45,Caucasian,0,1,0,0,0,0.0,0.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,973,0,0,1
70,Male,29,25 - 45,African-American,0,4,0,0,0,0.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,0,1073,0,0,1
71,Male,29,25 - 45,Caucasian,0,2,0,0,1,-24.0,24.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,441,0,1,0
72,Female,28,25 - 45,Other,0,2,0,0,0,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,865,0,0,1
79,Male,31,25 - 45,African-American,0,5,0,1,15,-1.0,1.0,F,1,(M2),-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,7,Medium,135,1077,1,0,1
80,Male,24,Less than 25,African-American,0,4,0,0,2,-1.0,1.0,F,1,(M1),1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,4,Low,1,575,1,1,0
83,Male,30,25 - 45,Hispanic,0,7,0,0,0,0.0,0.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,3,Low,23,1167,0,0,1
84,Male,49,Greater than 45,African-American,0,1,0,0,4,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,948,0,0,1
85,Male,53,Greater than 45,Caucasian,0,5,0,0,8,-13.0,13.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,2,Low,0,1039,0,0,1
87,Male,35,25 - 45,African-American,0,3,0,0,5,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,1145,0,0,1
90,Male,27,25 - 45,African-American,1,10,1,2,15,-1.0,1.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,9,High,0,44,1,1,0
91,Male,38,25 - 45,Caucasian,0,2,0,0,4,-1.0,1.0,M,1,(M2),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,1,272,1,1,1
93,Male,22,Less than 25,African-American,0,4,0,1,1,-1.0,1.0,F,1,(M1),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,6,Medium,0,371,1,1,1
96,Male,29,25 - 45,African-American,0,9,0,0,4,-1.0,1.0,F,1,(F3),-1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,5,Medium,18,69,0,1,1
97,Male,62,Greater than 45,Hispanic,0,1,0,0,0,0.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,1179,0,0,1
98,Male,27,25 - 45,African-American,0,6,1,0,6,0.0,0.0,F,1,(F3),0.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,3,Low,30,193,1,1,0
99,Male,33,25 - 45,Other,0,1,0,0,0,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,754,0,0,1
100,Female,56,Greater than 45,African-American,0,1,0,0,0,0.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,3,916,0,0,1
101,Male,45,Greater than 45,Hispanic,0,1,0,0,6,-1.0,1.0,F,1,(M2),-1.0,1,(M1),Risk of Recidivism,Low,Risk of Violence,1,Low,241,323,1,1,1
102,Male,22,Less than 25,Hispanic,0,4,0,0,1,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,6,Medium,0,1042,0,0,1
105,Male,39,25 - 45,African-American,0,4,0,0,1,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,4,1121,0,0,1
107,Male,29,25 - 45,African-American,0,6,0,0,5,0.0,0.0,F,1,(M2),0.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,3,Low,1,253,1,1,0
108,Male,27,25 - 45,Caucasian,0,6,0,1,1,-1.0,1.0,F,1,(F3),-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,3,Low,13,273,0,1,1
111,Male,40,25 - 45,African-American,0,2,0,0,2,-15.0,15.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,989,0,0,1
113,Male,22,Less than 25,African-American,0,3,0,0,1,0.0,1.0,M,1,(M2),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,17,256,0,1,1
114,Male,22,Less than 25,Caucasian,0,8,0,0,0,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,6,Medium,57,73,0,0,1
115,Female,26,25 - 45,African-American,0,4,0,0,1,-1.0,1.0,F,1,(M1),0.0,1,(F3),Risk of Recidivism,Low,Risk of Violence,3,Low,1,11,1,1,0
119,Male,32,25 - 45,African-American,0,2,0,0,0,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,1124,0,0,1
120,Male,41,25 - 45,African-American,0,2,0,0,1,-1.0,5185.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,1,1128,0,0,1
122,Male,30,25 - 45,African-American,0,10,0,0,8,-1.0,1.0,M,1,(M1),0.0,1,(F3),Risk of Recidivism,High,Risk of Violence,9,High,0,55,1,1,0
127,Male,50,Greater than 45,Other,0,1,0,0,0,-1.0,1.0,F,1,(M2),135.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,182,1,1,0
128,Male,25,25 - 45,African-American,1,10,6,1,14,-1.0,1.0,F,1,(M1),0.0,1,(M1),Risk of Recidivism,High,Risk of Violence,10,High,6,100,1,1,0
130,Male,20,Less than 25,Other,0,5,0,0,0,-1.0,1.0,F,1,(F2),0.0,1,(F2),Risk of Recidivism,Medium,Risk of Violence,8,High,0,119,1,1,0
131,Male,22,Less than 25,African-American,1,9,0,0,2,0.0,0.0,F,1,(M1),1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,10,High,30,175,1,1,0
136,Female,35,25 - 45,African-American,0,2,0,0,1,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,1098,0,0,1
137,Male,36,25 - 45,African-American,0,7,0,0,9,0.0,1.0,F,1,(M1),1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,6,Medium,4,27,1,1,0
138,Male,26,25 - 45,Caucasian,0,8,0,0,7,0.0,1.0,F,1,(M1),1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,4,Low,0,377,1,1,0
139,Male,21,Less than 25,Other,0,6,0,0,1,0.0,1.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,6,Medium,4,253,1,1,0
142,Male,25,25 - 45,Caucasian,0,8,0,0,9,-1.0,1.0,F,1,(M2),-1.0,1,(M1),Risk of Recidivism,High,Risk of Violence,9,High,0,145,1,1,1
145,Female,20,Less than 25,Caucasian,0,7,0,0,0,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,8,High,0,869,0,0,1
146,Male,39,25 - 45,Caucasian,0,1,0,0,2,-2.0,3.0,F,1,(F3),0.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,63,1,1,0
148,Female,54,Greater than 45,Caucasian,0,1,0,0,0,0.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,1082,0,0,1
150,Female,44,25 - 45,Hispanic,0,1,0,0,0,-2.0,2.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,955,0,0,1
151,Male,19,Less than 25,African-American,0,4,0,0,1,-10.0,10.0,M,1,(M1),0.0,1,(F3),Risk of Recidivism,Low,Risk of Violence,7,Medium,0,104,1,1,0
153,Male,30,25 - 45,African-American,0,2,0,0,1,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,935,0,0,1
154,Female,39,25 - 45,Caucasian,0,1,0,0,0,-1.0,1.0,F,1,(M1),1.0,1,(M1),Risk of Recidivism,Low,Risk of Violence,1,Low,1,52,1,1,0
156,Male,24,Less than 25,Caucasian,0,6,1,2,8,-1.0,0.0,F,1,(F2),1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,6,Medium,11,27,1,1,0
157,Male,30,25 - 45,Caucasian,0,4,0,0,0,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,5,497,0,0,1
158,Male,31,25 - 45,Caucasian,0,5,0,0,0,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,2,Low,38,770,0,0,1
159,Female,39,25 - 45,Caucasian,0,4,0,0,1,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,106,392,0,0,1
163,Male,43,25 - 45,Caucasian,0,1,0,0,1,-30.0,30.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,960,0,0,1
166,Male,21,Less than 25,African-American,0,9,0,0,3,-1.0,1.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,6,Medium,5,24,1,1,0
169,Male,38,25 - 45,Caucasian,0,4,0,0,5,-1.0,1.0,M,1,(F3),0.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,2,55,1,1,0
171,Male,34,25 - 45,Caucasian,0,5,0,0,0,0.0,0.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,5,Medium,15,441,0,0,1
173,Male,33,25 - 45,African-American,0,5,0,0,5,0.0,1.0,F,1,(M1),-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,2,Low,0,345,1,1,1
174,Male,37,25 - 45,African-American,0,2,0,0,3,0.0,0.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,1,102,0,0,1
175,Male,42,25 - 45,Caucasian,0,2,0,0,1,0.0,1.0,F,1,(F3),1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,1,2,1,1,0
176,Male,41,25 - 45,African-American,0,9,1,0,10,0.0,0.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,7,Medium,176,285,1,1,0
177,Male,22,Less than 25,African-American,0,4,0,0,0,-1.0,1.0,F,1,(F3),362.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,7,Medium,0,394,1,1,0
178,Male,33,25 - 45,African-American,0,8,12,2,28,-1.0,1.0,F,1,(M2),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,5,Medium,1,83,1,1,0
180,Male,31,25 - 45,African-American,0,7,0,0,1,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,8,High,0,900,0,0,1
182,Female,30,25 - 45,Other,0,2,0,0,1,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,97,0,0,1
183,Male,31,25 - 45,Caucasian,0,10,0,0,13,-1.0,0.0,F,1,(F2),-1.0,1,(M1),Risk of Recidivism,High,Risk of Violence,7,Medium,0,55,1,1,1
184,Male,27,25 - 45,African-American,0,9,0,0,3,-1.0,1.0,F,1,(F3),-1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,4,Low,0,249,1,1,1
189,Male,52,Greater than 45,Caucasian,0,9,0,0,3,-2.0,2.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,6,Medium,0,977,0,0,1
190,Male,33,25 - 45,African-American,0,10,0,0,19,-1.0,1.0,F,1,(M2),-1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,7,Medium,0,222,0,1,1
194,Male,42,25 - 45,Caucasian,0,3,0,0,6,-4.0,5.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,408,0,0,1
195,Female,25,25 - 45,Caucasian,0,4,0,0,2,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,5,Medium,2,359,0,0,1
197,Male,30,25 - 45,Caucasian,0,2,0,0,1,-20.0,20.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,864,0,0,1
200,Female,37,25 - 45,Other,0,2,0,0,2,-1.0,222.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,1,823,0,0,1
202,Male,28,25 - 45,Caucasian,0,2,0,0,0,-1.0,1.0,M,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,0,60,0,1,0
203,Female,24,Less than 25,African-American,0,2,0,0,0,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,1,784,0,0,1
206,Female,29,25 - 45,Caucasian,0,4,1,0,10,-1.0,1.0,F,1,(F3),1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,6,40,0,1,0
208,Male,44,25 - 45,Caucasian,0,2,0,0,2,0.0,1.0,M,1,(M1),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,216,1,1,1
210,Male,32,25 - 45,African-American,0,7,0,0,3,-1.0,1.0,F,1,(F3),-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,3,Low,7,413,0,1,1
213,Male,31,25 - 45,Caucasian,0,3,0,0,2,-16.0,16.0,M,1,(M1),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,0,48,1,1,1
215,Male,31,25 - 45,African-American,0,2,0,0,1,-1.0,1.0,M,1,(M2),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,0,1140,1,0,1
216,Male,59,Greater than 45,Caucasian,0,2,0,0,1,-1.0,1.0,F,1,(M2),5.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,164,1,1,0
220,Female,20,Less than 25,African-American,1,10,0,0,1,0.0,0.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,10,High,3,119,0,0,1
222,Female,43,25 - 45,Caucasian,0,1,0,0,0,0.0,0.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,1,1053,0,0,1
223,Male,38,25 - 45,African-American,1,8,1,0,9,-1.0,1.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,4,Low,12,129,1,1,0
224,Male,32,25 - 45,African-American,0,6,0,0,11,-2.0,2.0,F,1,(F3),0.0,1,(F1),Risk of Recidivism,Medium,Risk of Violence,5,Medium,0,24,1,1,0
225,Male,33,25 - 45,African-American,0,5,0,0,8,-1.0,1.0,M,1,(M1),-1.0,1,(M1),Risk of Recidivism,Medium,Risk of Violence,2,Low,0,187,1,1,1
227,Female,31,25 - 45,African-American,0,3,0,0,0,-1.0,1.0,F,1,(M2),39.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,1,76,0,1,0
228,Female,33,25 - 45,African-American,0,9,0,0,7,-1.0,1.0,F,1,(M2),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,9,High,25,275,1,1,0
229,Male,27,25 - 45,African-American,0,9,0,0,2,-1.0,1.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,8,High,0,18,0,1,0
231,Female,20,Less than 25,African-American,0,6,0,0,0,0.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,8,High,0,846,0,0,1
232,Female,26,25 - 45,Caucasian,0,6,0,0,0,-2.0,2.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,3,Low,0,795,0,0,1
234,Female,61,Greater than 45,African-American,0,1,0,0,1,-1.0,1.0,F,1,(M2),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,544,1,1,1
235,Male,52,Greater than 45,Other,0,7,0,0,13,-1.0,1.0,F,1,(M2),0.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,6,Medium,1,36,0,1,0
236,Male,63,Greater than 45,Hispanic,0,1,0,0,1,-26.0,26.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,786,0,0,1
238,Female,32,25 - 45,African-American,0,10,0,0,4,-7.0,7.0,F,1,(F3),0.0,1,(F3),Risk of Recidivism,High,Risk of Violence,9,High,0,395,1,1,0
239,Male,29,25 - 45,Hispanic,0,4,0,0,1,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,4,Low,0,938,0,0,1
241,Female,26,25 - 45,African-American,0,4,0,0,2,-1.0,1.0,M,1,(M2),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,4,Low,0,229,1,1,1
243,Male,39,25 - 45,Caucasian,1,4,0,0,1,-1.0,1672.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,4,Low,3,780,0,0,1
244,Female,30,25 - 45,Caucasian,0,7,0,0,3,0.0,1.0,F,1,(F3),554.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,4,Low,0,14,1,1,0
245,Male,30,25 - 45,African-American,0,7,0,0,1,0.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,8,High,70,367,0,0,1
246,Male,48,Greater than 45,Caucasian,0,2,0,0,2,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,918,0,0,1
248,Male,22,Less than 25,African-American,0,2,0,0,1,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,4,Low,0,547,0,0,1
