y_true,y_pred,race_group,explicacao_shap
1,0,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); program_attendances = 10 (reduz o risco); age_at_release = 5 (reduz o risco); prior_revocations_parole = 1 (aumenta o risco)"
0,1,Black,"situacao_de_emprego [jobs_per_year=0.8974201474201474, percent_days_employed=0.3144963144963145] (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=2] (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco); program_unexcusedabsences = 3 (aumenta o risco)"
0,0,Black,"situacao_de_emprego [jobs_per_year=1.808168316831683, percent_days_employed=1.0] (reduz o risco); residence_changes = 3 (aumenta o risco); avg_days_per_drugtest = 89.77777777777777 (reduz o risco); program_attendances = 0 (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=0.2216322815533981, percent_days_employed=0.9648058252427184] (reduz o risco); program_attendances = 10 (reduz o risco); delinquency_reports = 4 (reduz o risco); condition_mh_sa = 0 (reduz o risco)"
1,1,Black,"situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.0124223602484472] (aumenta o risco); residence_changes = 2 (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)"
1,1,White,"age_at_release = 6 (reduz o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco); avg_days_per_drugtest = 0.0 (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=0.9200251889168766, percent_days_employed=1.0] (reduz o risco); condition_mh_sa = 0 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 1 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco)"
1,1,Black,"situacao_de_emprego [jobs_per_year=0.2449698189134809, percent_days_employed=0.0717639168343394] (aumenta o risco); delinquency_reports = 0 (aumenta o risco); residence_puma = 4 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco)"
1,1,White,"prior_revocations_parole = 1 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=0, prior_conviction_episodes_prop=0] (reduz o risco); residence_changes = 0 (reduz o risco); situacao_de_emprego [jobs_per_year=3.0, percent_days_employed=1.0] (reduz o risco)"
1,0,White,"age_at_release = 6 (reduz o risco); supervision_risk_score_first = 3.0 (reduz o risco); prior_arrest_episodes_felony = 9 (aumenta o risco); situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=1.0] (reduz o risco)"
0,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); age_at_release = 4 (reduz o risco); delinquency_reports = 0 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=0, prior_conviction_episodes_prop=0] (reduz o risco)"
1,1,Black,"gang_affiliated = -1 (reduz o risco); situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.6739130434782609] (aumenta o risco); age_at_release = 5 (reduz o risco); drugtests_cocaine_positive = 0.5 (aumenta o risco)"
1,1,White,prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); age_at_release = 5 (reduz o risco); avg_days_per_drugtest = 95.33333333333331 (reduz o risco); prior_arrest_episodes_felony = 10 (aumenta o risco)
0,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); gang_affiliated = -1 (reduz o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); program_unexcusedabsences = 2 (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=0.2399802890932983, percent_days_employed=0.4848883048620237] (reduz o risco); age_at_release = 6 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); residence_puma = 2 (reduz o risco)"
1,0,White,"situacao_de_emprego [jobs_per_year=2.0, percent_days_employed=0.8118811881188119] (aumenta o risco); delinquency_reports = 1 (aumenta o risco); residence_puma = 10 (aumenta o risco); age_at_release = 6 (reduz o risco)"
1,0,Black,"situacao_de_emprego [jobs_per_year=1.626948775055679, percent_days_employed=0.6659242761692651] (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); program_attendances = 0 (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco)"
1,1,White,"gang_affiliated = 1 (aumenta o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); delinquency_reports = 3 (reduz o risco); prior_arrest_episodes_felony = 10 (aumenta o risco)"
0,0,White,program_attendances = 10 (reduz o risco); residence_changes = 3 (aumenta o risco); prior_revocations_parole = 1 (aumenta o risco); condition_mh_sa = 0 (reduz o risco)
1,0,White,"situacao_de_emprego [jobs_per_year=0.9766042780748664, percent_days_employed=1.0] (reduz o risco); residence_changes = 3 (aumenta o risco); avg_days_per_drugtest = 0.0 (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)"
0,1,White,"drugtests_meth_positive = 0.125 (aumenta o risco); delinquency_reports = 3 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); condition_mh_sa = 0 (reduz o risco)"
0,0,White,"prior_arrest_episodes_ppviolationcharges = 0 (reduz o risco); situacao_de_emprego [jobs_per_year=2.0, percent_days_employed=1.0] (reduz o risco); supervision_risk_score_first = 3.0 (reduz o risco); delinquency_reports = 2 (aumenta o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.7132867132867133] (aumenta o risco); residence_changes = 3 (aumenta o risco); delinquency_reports = 4 (reduz o risco); program_attendances = 7 (reduz o risco)"
1,1,White,"age_at_release = 6 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); drugtests_other_positive = 0.3333333432674408 (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=0.2964691558441558, percent_days_employed=0.9959415584415584] (reduz o risco); age_at_release = 6 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco)"
0,0,Black,"situacao_de_emprego [jobs_per_year=0.3663490471414243, percent_days_employed=0.037111334002006] (aumenta o risco); gang_affiliated = 1 (aumenta o risco); program_attendances = 10 (reduz o risco); delinquency_reports = 0 (aumenta o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); gang_affiliated = 1 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco)"
1,1,Black,"situacao_de_emprego [jobs_per_year=2.0, percent_days_employed=0.1804281345565749] (aumenta o risco); gang_affiliated = 1 (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); condition_mh_sa = 0 (reduz o risco)"
0,1,Black,"delinquency_reports = 4 (reduz o risco); situacao_de_emprego [jobs_per_year=0.4312278630460448, percent_days_employed=0.3093270365997638] (aumenta o risco); gang_affiliated = 1 (aumenta o risco); program_attendances = 6 (reduz o risco)"
1,0,White,"drugtests_other_positive = 0.1538461595773697 (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); situacao_de_emprego [jobs_per_year=0.7922993492407809, percent_days_employed=0.4728850325379609] (aumenta o risco); age_at_release = 2 (aumenta o risco)"
1,0,White,"situacao_de_emprego [jobs_per_year=3.358620689655172, percent_days_employed=1.0] (reduz o risco); prior_arrest_episodes_felony = 9 (aumenta o risco); age_at_release = 4 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=3] (aumenta o risco)"
0,0,Black,"situacao_de_emprego [jobs_per_year=0.2862460815047022, percent_days_employed=0.1457680250783699] (aumenta o risco); age_at_release = 6 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco)"
1,1,Black,"gang_affiliated = 1 (aumenta o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); age_at_release = 1 (aumenta o risco); delinquency_reports = 3 (reduz o risco)"
0,0,White,"delinquency_reports = 3 (reduz o risco); situacao_de_emprego [jobs_per_year=1.183315334773218, percent_days_employed=0.7926565874730022] (reduz o risco); avg_days_per_drugtest = 92.6 (reduz o risco); residence_puma = 4 (reduz o risco)"
1,0,White,"age_at_release = 6 (reduz o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); avg_days_per_drugtest = 0.0 (aumenta o risco)"
1,0,Black,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); prior_revocations_parole = 1 (aumenta o risco); delinquency_reports = 0 (aumenta o risco); residence_changes = 2 (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=0.4603024574669187, percent_days_employed=0.224952741020794] (aumenta o risco); gang_affiliated = -1 (reduz o risco); delinquency_reports = 1 (aumenta o risco); program_attendances = 10 (reduz o risco)"
1,1,Black,"situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.5698924731182796] (aumenta o risco); avg_days_per_drugtest = 8.454545454545455 (aumenta o risco); drugtests_thc_positive = 0.0909090936183929 (reduz o risco); residence_changes = 0 (reduz o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); age_at_release = 6 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); residence_puma = 14 (aumenta o risco)"
0,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); delinquency_reports = 1 (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)"
0,0,Black,program_attendances = 10 (reduz o risco); condition_mh_sa = 0 (reduz o risco); prior_revocations_parole = 1 (aumenta o risco); age_at_release = 3 (reduz o risco)
0,0,White,"age_at_release = 6 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); drugtests_thc_positive = 0.0399999991059303 (reduz o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=0.2955097087378641, percent_days_employed=0.9967637540453076] (reduz o risco); residence_puma = 14 (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)"
0,1,Black,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); delinquency_reports = 0 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco)"
0,1,Black,"age_at_release = 6 (reduz o risco); delinquency_reports = 4 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco)"
0,0,Black,"age_at_release = 6 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); prior_revocations_parole = 1 (aumenta o risco); delinquency_reports = 3 (reduz o risco)"
0,0,Black,"situacao_de_emprego [jobs_per_year=0.2181899641577061, percent_days_employed=0.6547192353643967] (reduz o risco); drugtests_thc_positive = 0.0487804859876633 (reduz o risco); program_attendances = 10 (reduz o risco); condition_mh_sa = 0 (reduz o risco)"
1,1,Black,"situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.6526946107784432] (aumenta o risco); residence_changes = 3 (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=0.3816614420062696, percent_days_employed=0.0689655172413793] (aumenta o risco); avg_days_per_drugtest = 159.5 (aumenta o risco); delinquency_reports = 0 (aumenta o risco); program_attendances = 8 (reduz o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=0.6763888888888889, percent_days_employed=0.998148148148148] (reduz o risco); drugtests_thc_positive = 0.0222222227603197 (reduz o risco); program_attendances = 10 (reduz o risco); delinquency_reports = 4 (reduz o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=0.3918991416309013, percent_days_employed=0.971030042918455] (reduz o risco); age_at_release = 6 (reduz o risco); program_attendances = 10 (reduz o risco); condition_mh_sa = 0 (reduz o risco)"
0,0,Black,"delinquency_reports = 4 (reduz o risco); situacao_de_emprego [jobs_per_year=0.3071909167367535, percent_days_employed=0.3153910849453322] (aumenta o risco); program_attendances = 6 (reduz o risco); prior_arrest_episodes_felony = 9 (aumenta o risco)"
0,1,Black,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=2] (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=0.785483870967742, percent_days_employed=0.4795698924731183] (reduz o risco); delinquency_reports = 1 (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); avg_days_per_drugtest = 0.0 (aumenta o risco)"
0,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); condition_mh_sa = 0 (reduz o risco); delinquency_reports = 0 (aumenta o risco); residence_changes = 0 (reduz o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); delinquency_reports = 0 (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.1666666666666667] (aumenta o risco); age_at_release = 5 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco); residence_changes = 0 (reduz o risco)"
1,1,White,"gang_affiliated = 1 (aumenta o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=1, prior_conviction_episodes_misd=0] (reduz o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco)"
1,1,Black,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); delinquency_reports = 1 (aumenta o risco); gang_affiliated = 1 (aumenta o risco); drugtests_thc_positive = 1.0 (aumenta o risco)"
1,0,Black,"situacao_de_emprego [jobs_per_year=1.698837209302325, percent_days_employed=1.0] (reduz o risco); prior_revocations_parole = 1 (aumenta o risco); age_at_release = 6 (reduz o risco); condition_mh_sa = 0 (reduz o risco)"
1,1,Black,"situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.6035242290748899] (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); program_unexcusedabsences = 3 (aumenta o risco)"
0,1,Black,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); program_attendances = 9 (reduz o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); program_unexcusedabsences = 3 (aumenta o risco)"
0,0,Black,"situacao_de_emprego [jobs_per_year=0.7051158301158301, percent_days_employed=0.9295366795366796] (reduz o risco); delinquency_reports = 1 (aumenta o risco); avg_days_per_drugtest = 0.0 (aumenta o risco); program_attendances = 0 (aumenta o risco)"
0,1,Black,"situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.7359550561797753] (aumenta o risco); condition_mh_sa = 1 (aumenta o risco); residence_changes = 0 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=3, prior_conviction_episodes_misd=0] (reduz o risco)"
1,1,Black,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); prior_revocations_parole = 1 (aumenta o risco); drugtests_thc_positive = 0.2000000029802322 (aumenta o risco); delinquency_reports = 0 (aumenta o risco)"
1,0,Black,"delinquency_reports = 4 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); situacao_de_emprego [jobs_per_year=2.82409793814433, percent_days_employed=1.0] (reduz o risco); program_attendances = 7 (reduz o risco)"
1,0,Black,"situacao_de_emprego [jobs_per_year=0.8780048076923076, percent_days_employed=0.8725961538461539] (reduz o risco); avg_days_per_drugtest = 104.0 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 1 (reduz o risco); program_attendances = 0 (aumenta o risco)"
1,1,White,"prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.8680851063829788] (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco)"
1,0,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco); condition_mh_sa = 0 (reduz o risco); program_unexcusedabsences = 1 (aumenta o risco)"
0,0,Black,"situacao_de_emprego [jobs_per_year=0.2353414948453608, percent_days_employed=1.0] (reduz o risco); condition_mh_sa = 0 (reduz o risco); prior_revocations_parole = 1 (aumenta o risco); prior_conviction_episodes_ppviolationcharges = 1 (reduz o risco)"
1,1,Black,"situacao_de_emprego [jobs_per_year=0.4712903225806452, percent_days_employed=0.1625806451612903] (aumenta o risco); delinquency_reports = 0 (aumenta o risco); residence_puma = 4 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=1.475757575757576, percent_days_employed=0.9090909090909092] (reduz o risco); age_at_release = 6 (reduz o risco); program_unexcusedabsences = 3 (aumenta o risco); program_attendances = 10 (reduz o risco)"
1,0,Black,age_at_release = 6 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); drugtests_thc_positive = 0.2000000029802322 (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco)
1,0,Black,"situacao_de_emprego [jobs_per_year=1.066423357664234, percent_days_employed=0.0029197080291971] (aumenta o risco); avg_days_per_drugtest = 0.0 (aumenta o risco); delinquency_reports = 0 (aumenta o risco); condition_mh_sa = 0 (reduz o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco)"
0,0,White,"age_at_release = 6 (reduz o risco); avg_days_per_drugtest = 0.0 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=2] (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=0.861438679245283, percent_days_employed=1.0] (reduz o risco); gang_affiliated = -1 (reduz o risco); residence_changes = 3 (aumenta o risco); condition_mh_sa = 0 (reduz o risco)"
1,0,White,"situacao_de_emprego [jobs_per_year=2.0, percent_days_employed=0.8164251207729468] (aumenta o risco); avg_days_per_drugtest = 0.0 (aumenta o risco); residence_changes = 2 (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=1.304464285714286, percent_days_employed=1.0] (reduz o risco); gang_affiliated = -1 (reduz o risco); age_at_release = 5 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco); condition_mh_sa = 0 (reduz o risco); delinquency_reports = 0 (aumenta o risco)"
1,0,White,"situacao_de_emprego [jobs_per_year=2.408241758241758, percent_days_employed=0.3538461538461539] (aumenta o risco); delinquency_reports = 3 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=2] (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)"
0,1,White,"situacao_de_emprego [jobs_per_year=0.4617572692793931, percent_days_employed=0.0240202275600506] (aumenta o risco); delinquency_reports = 0 (aumenta o risco); avg_days_per_drugtest = 79.1 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=1, prior_conviction_episodes_misd=1] (reduz o risco)"
0,0,White,"drugtests_other_positive = 0.025000000372529 (reduz o risco); situacao_de_emprego [jobs_per_year=0.2270043505282784, percent_days_employed=0.45680546923555] (reduz o risco); residence_changes = 3 (aumenta o risco); age_at_release = 5 (reduz o risco)"
1,1,White,"drugtests_meth_positive = 0.3333333432674408 (aumenta o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); program_unexcusedabsences = 3 (aumenta o risco); gang_affiliated = -1 (reduz o risco)"
0,0,Black,"situacao_de_emprego [jobs_per_year=0.8189461883408072, percent_days_employed=1.0] (reduz o risco); prior_revocations_parole = 1 (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco); prior_arrest_episodes_felony = 9 (aumenta o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=0.5058864265927978, percent_days_employed=0.092797783933518] (aumenta o risco); delinquency_reports = 4 (reduz o risco); residence_puma = 4 (reduz o risco); program_attendances = 0 (aumenta o risco)"
0,0,White,"age_at_release = 6 (reduz o risco); delinquency_reports = 3 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=0, prior_conviction_episodes_misd=0] (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco)"
0,1,White,"delinquency_reports = 4 (reduz o risco); situacao_de_emprego [jobs_per_year=0.4949186991869918, percent_days_employed=0.3319783197831978] (aumenta o risco); residence_changes = 3 (aumenta o risco); program_attendances = 0 (aumenta o risco)"
