dataset_origin,id,race_group,sex,target_2yr_recid
NIJ,222,Black,M,0
NIJ,223,Black,M,0
NIJ,224,White,F,1
NIJ,225,White,M,0
NIJ,226,White,M,1
NIJ,227,White,M,0
NIJ,228,White,M,1
NIJ,229,White,M,0
NIJ,230,White,M,1
NIJ,231,White,F,1
NIJ,232,Black,M,0
NIJ,233,Black,M,0
NIJ,234,White,M,1
NIJ,235,Black,M,1
NIJ,236,White,M,0
NIJ,237,White,M,1
NIJ,238,White,M,0
NIJ,239,White,M,1
NIJ,240,Black,M,1
NIJ,241,Black,M,0
NIJ,242,White,M,1
NIJ,243,Black,M,1
NIJ,244,White,M,0
NIJ,245,Black,M,1
NIJ,246,White,M,1
NIJ,247,White,M,1
NIJ,248,White,M,0
NIJ,249,Black,M,0
NIJ,250,White,F,1
NIJ,251,Black,M,1
NIJ,252,Black,M,0
NIJ,253,White,M,1
NIJ,254,White,M,1
NIJ,255,White,M,0
NIJ,256,Black,M,0
NIJ,257,White,M,0
NIJ,258,Black,M,0
NIJ,259,Black,M,0
NIJ,260,Black,F,1
NIJ,261,Black,F,0
NIJ,262,White,F,1
NIJ,263,White,M,1
NIJ,264,Black,M,1
NIJ,265,Black,M,0
NIJ,266,White,M,0
NIJ,267,Black,M,1
NIJ,268,Black,M,1
NIJ,269,White,M,1
NIJ,270,White,M,0
NIJ,271,White,M,1
NIJ,272,White,M,1
NIJ,273,Black,M,0
NIJ,274,Black,M,1
NIJ,275,White,M,0
NIJ,276,White,M,1
NIJ,277,Black,M,0
NIJ,278,White,M,1
NIJ,279,Black,M,1
NIJ,280,Black,M,0
NIJ,281,Black,M,0
NIJ,282,Black,M,1
NIJ,283,White,M,1
NIJ,284,White,F,0
NIJ,285,White,M,1
NIJ,286,Black,M,1
NIJ,287,Black,M,0
NIJ,288,Black,M,0
NIJ,289,White,M,1
NIJ,290,Black,M,1
NIJ,291,Black,M,0
NIJ,292,White,M,1
NIJ,293,White,M,1
NIJ,294,Black,M,0
NIJ,295,Black,M,0
NIJ,296,White,M,1
NIJ,297,White,M,1
NIJ,298,White,M,1
NIJ,299,Black,M,1
NIJ,300,Black,M,1
NIJ,301,Black,M,1
NIJ,302,Black,M,1
NIJ,303,Black,M,0
NIJ,304,White,M,1
NIJ,305,Black,M,1
NIJ,306,Black,M,1
NIJ,307,Black,M,1
NIJ,308,White,M,1
NIJ,309,White,M,1
NIJ,310,White,M,0
NIJ,311,White,M,0
NIJ,312,Black,M,0
NIJ,313,Black,M,1
NIJ,314,Black,M,1
NIJ,315,White,M,0
NIJ,316,Black,M,1
NIJ,317,White,M,1
NIJ,318,Black,M,1
NIJ,319,White,M,1
NIJ,320,White,M,1
NIJ,321,Black,M,1
NIJ,322,White,M,1
NIJ,323,White,M,1
NIJ,324,White,M,0
NIJ,325,Black,M,1
NIJ,326,White,F,0
NIJ,328,White,M,1
NIJ,329,White,M,0
NIJ,330,White,M,1
NIJ,331,Black,M,1
NIJ,332,White,M,0
NIJ,333,White,M,0
NIJ,334,White,M,0
NIJ,335,White,M,1
NIJ,336,White,M,1
NIJ,337,White,M,0
NIJ,338,White,F,1
NIJ,339,White,F,0
NIJ,340,Black,M,0
NIJ,341,White,F,0
NIJ,342,White,M,0
NIJ,343,White,M,0
NIJ,344,Black,M,0
NIJ,345,Black,M,0
NIJ,346,White,M,1
NIJ,347,White,M,0
NIJ,348,White,M,1
NIJ,349,White,M,1
NIJ,350,White,F,0
NIJ,351,White,M,1
NIJ,352,White,M,1
NIJ,353,White,M,1
NIJ,354,Black,M,1
NIJ,355,White,M,1
NIJ,356,White,M,1
NIJ,357,White,M,0
NIJ,358,White,M,0
NIJ,359,White,M,1
NIJ,360,White,F,0
NIJ,361,White,M,0
NIJ,362,White,M,0
NIJ,363,White,F,1
NIJ,364,Black,M,0
NIJ,365,White,M,1
NIJ,366,White,M,1
NIJ,367,Black,M,1
NIJ,368,White,F,0
NIJ,370,Black,M,0
NIJ,371,White,M,0
NIJ,372,White,M,0
NIJ,374,Black,M,1
NIJ,375,Black,M,1
NIJ,376,Black,F,0
NIJ,377,Black,M,0
NIJ,378,White,M,0
NIJ,379,Black,M,1
NIJ,380,White,M,0
NIJ,381,Black,M,1
NIJ,382,Black,M,1
NIJ,383,White,F,0
NIJ,384,Black,M,1
NIJ,385,Black,M,1
NIJ,386,White,M,1
NIJ,387,Black,M,0
NIJ,388,White,M,1
NIJ,389,White,M,0
NIJ,390,White,F,1
NIJ,391,Black,M,0
NIJ,392,Black,M,0
NIJ,393,White,M,1
NIJ,394,Black,M,0
NIJ,395,Black,M,0
NIJ,396,Black,F,0
NIJ,397,White,M,0
NIJ,398,White,M,1
NIJ,399,Black,M,1
NIJ,400,Black,M,1
NIJ,401,White,M,1
NIJ,402,Black,M,0
NIJ,403,Black,M,1
NIJ,404,Black,M,0
NIJ,405,White,F,1
NIJ,406,Black,M,0
NIJ,407,White,F,0
NIJ,408,Black,M,1
NIJ,409,Black,M,1
NIJ,410,White,M,0
NIJ,411,Black,M,0
NIJ,412,White,M,1
NIJ,413,Black,M,0
NIJ,414,White,M,1
NIJ,415,White,M,1
NIJ,416,White,M,1
NIJ,417,White,F,0
NIJ,418,Black,M,1
NIJ,419,Black,M,1
NIJ,420,White,M,0
NIJ,421,Black,M,0
NIJ,422,Black,M,1
NIJ,423,White,M,0
NIJ,424,White,M,1
NIJ,425,White,M,0
NIJ,426,White,M,0
NIJ,427,White,F,1
NIJ,428,Black,M,0
NIJ,429,White,M,1
NIJ,430,Black,F,0
NIJ,431,Black,M,0
NIJ,432,White,F,1
NIJ,433,Black,M,1
NIJ,434,White,M,0
NIJ,435,White,M,0
NIJ,436,White,M,1
NIJ,437,Black,M,0
NIJ,438,Black,M,1
NIJ,439,Black,M,0
NIJ,440,Black,M,1
NIJ,441,Black,M,0
NIJ,442,Black,M,0
NIJ,443,Black,M,0
NIJ,444,Black,M,1
NIJ,445,White,M,1
NIJ,446,Black,F,1
NIJ,447,White,F,0
NIJ,448,Black,M,1
NIJ,449,Black,M,1
NIJ,450,Black,M,0
NIJ,451,Black,M,1
NIJ,452,Black,M,0
NIJ,453,Black,M,1
NIJ,454,White,M,1
NIJ,455,Black,M,1
NIJ,456,Black,M,0
NIJ,457,Black,M,0
NIJ,458,Black,M,1
NIJ,459,Black,M,0
NIJ,460,White,M,0
NIJ,461,White,M,1
NIJ,462,Black,M,1
NIJ,463,Black,M,1
NIJ,464,White,M,1
NIJ,465,White,M,0
NIJ,466,White,F,1
NIJ,467,White,M,0
NIJ,468,White,M,0
NIJ,469,Black,F,0
NIJ,470,White,M,1
NIJ,471,Black,M,1
NIJ,472,Black,M,0
NIJ,473,White,M,0
NIJ,474,White,F,0
NIJ,475,White,M,1
NIJ,477,Black,M,1
NIJ,478,White,F,1
NIJ,479,Black,F,0
NIJ,480,Black,M,1
NIJ,481,White,M,1
NIJ,482,Black,F,1
NIJ,483,White,M,0
NIJ,484,Black,M,0
NIJ,485,White,F,0
NIJ,486,Black,M,0
NIJ,488,White,M,0
NIJ,489,White,M,0
NIJ,490,White,M,1
NIJ,491,Black,M,1
NIJ,492,Black,M,1
NIJ,493,Black,M,1
NIJ,494,White,M,0
NIJ,495,Black,M,1
NIJ,496,White,M,0
NIJ,497,White,M,1
NIJ,498,White,M,0
NIJ,499,White,M,1
NIJ,500,Black,M,1
NIJ,501,Black,M,1
NIJ,502,White,M,1
NIJ,503,Black,M,0
NIJ,504,Black,M,0
NIJ,505,White,F,1
NIJ,506,White,M,0
NIJ,507,Black,M,1
NIJ,508,Black,M,0
NIJ,509,White,M,0
NIJ,510,Black,M,1
NIJ,511,White,M,0
NIJ,512,White,M,1
NIJ,513,White,M,1
NIJ,514,White,F,1
NIJ,516,Black,M,1
NIJ,517,Black,M,0
NIJ,518,Black,M,0
NIJ,519,White,M,1
NIJ,520,Black,M,0
NIJ,521,White,M,1
NIJ,522,White,M,1
NIJ,523,Black,M,0
NIJ,524,Black,M,0
NIJ,525,Black,F,0
NIJ,526,Black,M,0
NIJ,527,Black,M,0
NIJ,528,Black,M,1
NIJ,529,Black,M,0
NIJ,530,Black,M,0
NIJ,531,White,F,1
NIJ,532,Black,M,0
NIJ,533,Black,M,0
NIJ,534,Black,M,1
NIJ,535,Black,F,0
NIJ,537,White,M,0
NIJ,538,Black,M,0
NIJ,539,Black,F,1
NIJ,540,Black,M,1
NIJ,542,Black,M,0
NIJ,543,Black,M,1
NIJ,544,Black,M,0
NIJ,545,Black,F,0
NIJ,546,White,M,1
NIJ,547,Black,M,0
NIJ,548,Black,M,0
NIJ,549,White,M,1
NIJ,550,White,M,1
NIJ,551,Black,M,0
NIJ,552,Black,M,1
NIJ,553,Black,M,1
NIJ,554,Black,M,0
NIJ,555,White,M,0
NIJ,556,White,M,1
NIJ,557,White,M,0
NIJ,558,Black,M,1
NIJ,559,Black,M,0
NIJ,560,White,M,1
NIJ,562,White,M,1
NIJ,563,Black,M,1
NIJ,564,White,M,0
NIJ,565,White,M,1
NIJ,566,Black,M,1
NIJ,567,Black,M,1
NIJ,568,White,M,0
NIJ,569,Black,M,0
NIJ,570,White,M,0
NIJ,571,White,M,0
NIJ,572,Black,M,0
NIJ,573,White,M,1
NIJ,574,White,M,1
NIJ,575,White,M,1
NIJ,576,White,F,1
NIJ,577,Black,M,1
NIJ,578,White,M,0
NIJ,579,White,M,0
NIJ,580,Black,M,0
NIJ,581,Black,M,0
NIJ,582,Black,M,0
NIJ,583,Black,M,0
NIJ,584,Black,M,1
NIJ,585,White,M,0
NIJ,586,White,M,1
NIJ,587,Black,M,0
NIJ,588,Black,M,0
NIJ,589,White,M,1
NIJ,590,Black,M,1
NIJ,591,Black,M,1
NIJ,592,White,M,0
NIJ,593,Black,M,0
NIJ,594,White,M,0
NIJ,595,Black,M,0
NIJ,596,White,M,0
NIJ,597,Black,M,0
NIJ,598,White,M,1
NIJ,599,White,M,0
NIJ,600,White,M,0
NIJ,601,Black,M,0
NIJ,602,Black,M,0
NIJ,603,White,F,1
NIJ,604,White,M,1
NIJ,605,White,M,1
NIJ,606,Black,M,0
NIJ,607,Black,M,0
NIJ,608,Black,M,1
NIJ,609,Black,M,1
NIJ,610,Black,M,0
NIJ,611,White,M,0
NIJ,612,Black,F,1
NIJ,613,Black,M,1
NIJ,614,Black,M,1
NIJ,615,Black,M,1
NIJ,616,Black,M,1
NIJ,617,White,F,0
NIJ,618,Black,F,0
NIJ,619,Black,M,1
NIJ,620,Black,M,0
NIJ,621,White,M,1
NIJ,622,White,M,0
NIJ,623,White,M,1
NIJ,624,Black,M,1
NIJ,625,Black,M,1
NIJ,626,Black,M,0
NIJ,627,Black,M,1
NIJ,628,Black,M,0
NIJ,629,Black,M,1
NIJ,630,Black,M,1
NIJ,631,Black,M,0
NIJ,632,Black,M,0
NIJ,633,Black,M,0
NIJ,634,White,M,0
NIJ,635,White,M,1
NIJ,637,Black,M,1
NIJ,638,Black,M,1
NIJ,639,White,M,0
NIJ,640,White,M,0
NIJ,641,Black,M,1
NIJ,642,White,F,1
NIJ,643,White,M,0
NIJ,644,White,M,1
NIJ,645,Black,M,1
NIJ,646,White,M,0
NIJ,647,Black,M,0
NIJ,648,White,M,1
NIJ,649,White,F,1
NIJ,650,White,M,0
NIJ,651,Black,M,1
NIJ,652,Black,M,1
NIJ,653,White,M,1
NIJ,654,Black,M,0
NIJ,655,Black,M,1
NIJ,656,Black,M,0
NIJ,657,Black,M,0
NIJ,658,Black,M,1
NIJ,659,Black,M,0
NIJ,660,Black,M,0
NIJ,661,Black,M,1
NIJ,662,Black,F,1
NIJ,663,Black,M,0
NIJ,664,Black,M,0
NIJ,665,Black,M,1
NIJ,666,Black,M,1
NIJ,667,Black,M,0
NIJ,668,White,M,1
NIJ,669,White,M,1
NIJ,670,Black,M,0
NIJ,671,White,M,0
NIJ,672,White,M,0
NIJ,673,Black,M,0
NIJ,674,White,M,1
NIJ,675,Black,M,1
NIJ,676,White,M,1
NIJ,677,Black,M,1
NIJ,678,Black,M,1
NIJ,679,Black,M,1
NIJ,680,Black,M,0
NIJ,681,White,M,1
NIJ,682,White,M,0
NIJ,683,Black,M,1
NIJ,684,Black,M,1
NIJ,685,White,M,1
NIJ,686,Black,M,0
NIJ,687,White,M,0
NIJ,688,Black,M,0
NIJ,689,Black,M,0
NIJ,690,White,M,0
NIJ,691,Black,M,0
NIJ,692,Black,M,1
NIJ,693,White,M,1
NIJ,694,Black,M,1
NIJ,695,White,M,0
NIJ,696,Black,M,0
NIJ,697,Black,M,1
NIJ,698,Black,M,0
NIJ,699,Black,M,0
NIJ,700,Black,M,0
NIJ,701,Black,M,0
NIJ,702,Black,M,0
NIJ,703,White,M,0
NIJ,704,Black,M,1
NIJ,705,Black,M,1
NIJ,706,White,M,1
NIJ,707,Black,M,1
NIJ,708,White,M,0
NIJ,709,White,M,1
NIJ,710,Black,M,0
NIJ,711,Black,M,0
NIJ,712,Black,M,0
NIJ,713,Black,M,0
NIJ,714,Black,F,0
NIJ,715,White,F,0
NIJ,716,White,F,0
NIJ,717,White,M,0
NIJ,718,White,M,1
NIJ,719,Black,M,0
NIJ,720,White,M,1
NIJ,721,White,F,1
NIJ,722,White,M,1
NIJ,723,White,M,1
NIJ,724,Black,M,0
NIJ,725,Black,M,1
NIJ,726,Black,M,0
NIJ,727,White,M,0
NIJ,728,Black,M,0
NIJ,729,White,M,1
NIJ,730,White,M,1
NIJ,731,White,M,0
NIJ,732,White,M,0
NIJ,733,Black,M,1
NIJ,734,White,M,1
NIJ,735,Black,M,1
NIJ,736,White,M,0
NIJ,737,White,M,1
NIJ,738,White,M,0
NIJ,739,White,M,1
NIJ,740,White,M,1
NIJ,741,Black,M,0
NIJ,742,Black,M,0
NIJ,743,Black,M,1
NIJ,744,White,M,0
NIJ,745,White,M,0
NIJ,747,Black,M,1
NIJ,748,White,M,0
NIJ,749,Black,M,1
NIJ,750,Black,M,0
NIJ,751,White,M,0
NIJ,752,Black,M,1
NIJ,753,White,M,1
NIJ,754,Black,M,0
NIJ,755,Black,M,1
NIJ,756,Black,M,1
NIJ,757,Black,M,0
NIJ,758,Black,M,0
NIJ,759,Black,M,0
NIJ,760,Black,M,0
NIJ,761,White,M,0
NIJ,762,Black,M,0
NIJ,763,Black,M,1
NIJ,764,White,M,0
NIJ,765,Black,M,0
NIJ,766,Black,M,0
NIJ,767,Black,M,0
NIJ,768,Black,M,1
NIJ,769,White,M,1
NIJ,770,Black,F,0
NIJ,771,White,M,0
NIJ,772,Black,M,0
NIJ,773,Black,M,0
NIJ,774,White,M,0
NIJ,775,Black,M,0
NIJ,776,Black,M,0
NIJ,777,Black,M,1
NIJ,778,Black,M,0
NIJ,779,Black,M,0
NIJ,780,Black,F,1
NIJ,781,White,M,1
NIJ,782,White,M,1
NIJ,783,White,M,1
NIJ,784,White,M,0
NIJ,785,White,M,0
NIJ,786,White,M,1
NIJ,787,White,F,0
NIJ,788,White,F,0
NIJ,789,White,M,0
NIJ,790,Black,M,1
NIJ,791,Black,M,0
NIJ,792,White,F,0
NIJ,793,White,M,0
NIJ,794,Black,M,0
NIJ,795,Black,M,1
NIJ,796,White,M,0
NIJ,797,Black,M,0
NIJ,798,White,F,0
NIJ,799,White,F,1
NIJ,800,Black,M,1
NIJ,801,Black,F,0
NIJ,802,White,M,0
NIJ,803,Black,M,0
NIJ,804,Black,M,1
NIJ,805,White,M,1
NIJ,806,Black,M,0
NIJ,807,Black,M,1
NIJ,808,White,M,1
NIJ,809,Black,M,0
NIJ,810,Black,M,0
NIJ,811,White,M,1
NIJ,812,White,M,1
NIJ,813,Black,M,1
NIJ,814,Black,M,0
NIJ,815,Black,M,0
NIJ,816,White,M,0
NIJ,817,Black,M,1
NIJ,818,Black,M,0
NIJ,819,Black,F,0
NIJ,820,Black,M,1
NIJ,821,Black,M,0
NIJ,822,White,M,0
NIJ,823,Black,M,0
NIJ,824,Black,M,1
NIJ,825,Black,M,1
NIJ,826,White,M,1
NIJ,827,White,M,1
NIJ,828,Black,M,0
NIJ,829,Black,M,1
NIJ,830,Black,M,0
NIJ,831,Black,M,1
NIJ,832,Black,M,1
NIJ,833,Black,M,0
NIJ,834,Black,F,1
NIJ,835,Black,M,0
NIJ,836,Black,M,0
NIJ,837,White,M,1
NIJ,838,Black,M,1
NIJ,839,Black,M,1
NIJ,840,Black,M,0
NIJ,841,Black,M,1
NIJ,842,Black,M,0
NIJ,843,Black,M,1
NIJ,845,Black,M,0
NIJ,846,Black,M,1
NIJ,847,White,M,0
NIJ,848,Black,M,0
NIJ,849,Black,M,1
NIJ,850,Black,M,1
NIJ,851,Black,M,0
NIJ,852,White,F,0
NIJ,853,Black,M,0
NIJ,854,Black,M,1
NIJ,855,White,M,0
NIJ,856,Black,M,1
NIJ,857,Black,F,0
NIJ,859,Black,M,1
NIJ,860,White,F,0
NIJ,861,White,M,0
NIJ,862,White,M,1
NIJ,863,Black,M,0
NIJ,864,White,F,0
NIJ,865,Black,M,1
NIJ,866,Black,M,0
NIJ,867,Black,M,1
NIJ,868,Black,M,1
NIJ,869,Black,M,1
NIJ,870,Black,M,0
NIJ,871,Black,M,0
NIJ,872,White,M,1
NIJ,873,Black,M,0
NIJ,874,Black,M,1
NIJ,875,White,M,1
NIJ,876,White,M,0
NIJ,877,White,F,0
NIJ,878,Black,M,0
NIJ,879,Black,M,0
NIJ,880,Black,M,1
NIJ,881,Black,M,0
NIJ,882,White,M,0
NIJ,883,Black,M,0
NIJ,884,Black,F,1
NIJ,886,White,M,1
NIJ,887,Black,M,1
NIJ,888,White,F,1
NIJ,889,Black,M,0
NIJ,890,White,F,0
NIJ,891,White,M,0
NIJ,892,Black,M,0
NIJ,893,White,M,1
NIJ,894,White,M,1
NIJ,895,White,F,0
NIJ,896,Black,M,1
NIJ,897,Black,F,1
NIJ,898,Black,M,0
NIJ,899,Black,M,0
NIJ,900,Black,M,1
NIJ,901,Black,M,1
NIJ,902,Black,M,0
NIJ,903,White,M,1
NIJ,904,White,M,0
NIJ,905,White,M,0
NIJ,906,Black,M,0
NIJ,907,White,M,1
NIJ,908,Black,M,0
NIJ,909,White,F,0
NIJ,910,Black,M,1
NIJ,911,Black,M,0
NIJ,912,White,M,0
NIJ,913,White,M,1
NIJ,914,Black,M,1
NIJ,915,Black,M,0
NIJ,916,White,M,0
NIJ,917,Black,F,0
NIJ,919,White,M,1
NIJ,920,White,M,0
NIJ,921,Black,M,0
NIJ,922,Black,M,0
NIJ,923,White,M,1
NIJ,924,Black,M,1
NIJ,925,White,M,1
NIJ,926,White,M,0
NIJ,927,Black,M,0
NIJ,928,White,F,1
NIJ,929,Black,M,1
NIJ,930,Black,M,0
NIJ,931,Black,M,0
NIJ,932,Black,M,1
NIJ,933,White,F,0
NIJ,934,White,M,0
NIJ,935,Black,M,1
NIJ,936,Black,M,1
NIJ,937,Black,M,1
NIJ,938,White,F,0
NIJ,939,White,M,0
NIJ,940,White,M,0
NIJ,941,Black,M,1
NIJ,942,White,M,0
NIJ,943,Black,M,0
NIJ,944,Black,M,0
NIJ,945,White,M,0
NIJ,946,White,M,1
NIJ,947,White,M,1
NIJ,948,Black,M,0
NIJ,949,Black,M,1
NIJ,950,White,M,0
NIJ,951,White,M,0
NIJ,952,Black,M,1
NIJ,953,White,M,1
NIJ,954,Black,M,1
NIJ,955,Black,M,0
NIJ,956,White,M,0
NIJ,957,White,M,0
NIJ,958,White,M,0
NIJ,959,Black,M,0
NIJ,960,Black,M,0
NIJ,961,Black,M,0
NIJ,962,White,M,1
NIJ,963,White,M,1
NIJ,964,Black,M,0
NIJ,965,Black,M,0
NIJ,966,White,M,0
NIJ,967,Black,M,0
NIJ,968,White,M,0
NIJ,969,Black,M,1
NIJ,970,Black,M,1
NIJ,971,White,F,1
NIJ,972,Black,M,1
NIJ,973,White,M,0
NIJ,974,Black,M,0
NIJ,975,White,F,1
NIJ,976,Black,M,0
NIJ,977,Black,M,1
NIJ,978,White,M,1
NIJ,979,Black,M,0
NIJ,980,Black,M,0
NIJ,982,Black,M,1
NIJ,983,White,M,0
NIJ,984,Black,M,0
NIJ,985,Black,M,1
NIJ,986,White,M,1
NIJ,987,White,M,1
NIJ,988,Black,M,1
NIJ,989,Black,M,0
NIJ,990,White,M,1
NIJ,991,Black,M,0
NIJ,992,Black,M,1
NIJ,993,White,F,0
NIJ,994,Black,M,0
NIJ,995,Black,M,0
NIJ,996,Black,M,1
NIJ,997,Black,M,1
NIJ,998,Black,F,0
NIJ,999,White,M,0
NIJ,1000,White,M,1
NIJ,1001,Black,M,1
NIJ,1002,Black,M,0
NIJ,1003,Black,M,1
NIJ,1004,Black,M,0
NIJ,1005,Black,M,0
NIJ,1006,Black,M,1
NIJ,1007,White,M,1
NIJ,1008,White,F,1
NIJ,1010,Black,M,1
NIJ,1011,Black,M,1
NIJ,1012,White,M,0
NIJ,1013,Black,M,0
NIJ,1014,Black,M,0
NIJ,1016,Black,F,0
NIJ,1017,White,M,1
NIJ,1018,Black,M,1
NIJ,1019,Black,M,0
NIJ,1020,White,M,0
NIJ,1021,White,M,0
NIJ,1022,Black,M,0
NIJ,1023,White,M,0
NIJ,1024,White,M,0
NIJ,1025,White,M,0
NIJ,1026,White,M,0
NIJ,1027,White,F,0
NIJ,1028,White,M,1
NIJ,1029,Black,M,1
NIJ,1030,White,M,1
NIJ,1031,White,F,0
NIJ,1032,White,M,0
NIJ,1033,White,F,0
NIJ,1034,White,M,1
NIJ,1035,White,M,0
NIJ,1036,White,M,0
NIJ,1037,Black,F,0
NIJ,1038,Black,M,0
NIJ,1039,Black,M,0
NIJ,1040,White,M,0
NIJ,1041,White,M,1
NIJ,1042,White,F,1
NIJ,1043,Black,M,1
NIJ,1044,Black,M,0
NIJ,1045,Black,M,0
NIJ,1046,Black,M,0
